NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	198	-0.32819223	-1.0709398	0.22984563	0.66836774	1.0	11980	tags=32%, list=20%, signal=40%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	196	-0.32043764	-1.0394199	0.33275563	0.77794355	1.0	13181	tags=32%, list=22%, signal=41%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	57	-0.37412938	-1.0258365	0.40072858	0.79812574	1.0	17522	tags=56%, list=30%, signal=80%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	197	-0.31396493	-1.0241346	0.37436762	0.7608235	1.0	14299	tags=36%, list=24%, signal=47%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	193	-0.3122882	-1.0095882	0.4057239	0.78754616	1.0	16427	tags=41%, list=28%, signal=57%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	147	-0.31599766	-0.9995901	0.42440802	0.7906007	1.0	17810	tags=48%, list=30%, signal=69%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	193	-0.30294183	-0.98597944	0.47755834	0.81369513	1.0	16527	tags=39%, list=28%, signal=54%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS		197	-0.3000006	-0.9718972	0.5250896	0.83690387	1.0	10935	tags=29%, list=19%, signal=36%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		73	-0.30395162	-0.8818381	0.7066421	1.0	1.0	13458	tags=34%, list=23%, signal=44%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		43	-0.33267364	-0.8786238	0.6901961	1.0	1.0	13951	tags=35%, list=24%, signal=46%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB		198	-0.26815924	-0.87624115	0.87085515	1.0	1.0	10824	tags=24%, list=18%, signal=29%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		196	-0.26393184	-0.8527464	0.91019	1.0	1.0	11695	tags=27%, list=20%, signal=33%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		104	-0.2816333	-0.8505178	0.8324515	1.0	1.0	14357	tags=32%, list=24%, signal=42%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION		138	-0.27161238	-0.85011977	0.8680927	1.0	1.0	12552	tags=35%, list=21%, signal=44%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS		133	-0.26886296	-0.8353275	0.9073427	1.0	1.0	11080	tags=28%, list=19%, signal=34%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT		191	-0.2525573	-0.81568336	0.98259187	1.0	1.0	17298	tags=46%, list=29%, signal=65%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM		112	-0.26611903	-0.81323195	0.9423792	1.0	1.0	14256	tags=38%, list=24%, signal=49%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		47	-0.2981509	-0.80309695	0.86285716	1.0	1.0	16749	tags=49%, list=28%, signal=68%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		97	-0.25149843	-0.75543195	0.98563737	1.0	1.0	16581	tags=39%, list=28%, signal=54%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP		155	-0.23029521	-0.73028946	1.0	1.0	1.0	14354	tags=32%, list=24%, signal=42%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE		197	-0.22215433	-0.7231244	1.0	0.99237716	1.0	14285	tags=34%, list=24%, signal=44%	
