gene_name	gene_biotype
TMEM88B	protein_coding
RP4-758J18.10	lincRNA
VWA1	protein_coding
ATAD3C	protein_coding
ATAD3B	protein_coding
ATAD3A	protein_coding
TMEM240	protein_coding
SSU72	protein_coding
RP5-832C2.5	lincRNA
AL645728.1	protein_coding
RP11-345P4.11	processed_pseudogene
Metazoa_SRP	misc_RNA
C1orf233	protein_coding
RP11-345P4.9	antisense
MIB2	protein_coding
MMP23B	protein_coding
CDK11B	protein_coding
RP11-345P4.10	antisense
SLC35E2B	protein_coding
RP11-345P4.7	antisense
RP11-345P4.6	transcribed_processed_pseudogene
MMP23A	unprocessed_pseudogene
CDK11A	protein_coding
RP1-283E3.8	processed_transcript
RP1-283E3.4	transcribed_processed_pseudogene
SLC35E2	protein_coding
NADK	protein_coding
GNB1	protein_coding
RP1-140A9.1	antisense
CALML6	protein_coding
TMEM52	protein_coding
CFAP74	protein_coding
RP11-547D24.1	antisense
GABRD	protein_coding
RP11-547D24.3	antisense
PRKCZ	protein_coding
RP5-892K4.1	antisense
RP11-181G12.2	antisense
FAAP20	protein_coding
RP11-181G12.4	lincRNA
AL590822.1	miRNA
SKI	protein_coding
MORN1	protein_coding
RP4-713A8.1	sense_intronic
RP4-740C4.5	transcribed_processed_pseudogene
RP4-740C4.7	sense_intronic
RER1	protein_coding
PEX10	protein_coding
PLCH2	protein_coding
RP3-395M20.2	antisense
RP3-395M20.3	antisense
PANK4	protein_coding
HES5	protein_coding
RP3-395M20.12	lincRNA
RP3-395M20.8	antisense
TNFRSF14	protein_coding
RP3-395M20.7	TEC
RP3-395M20.9	lincRNA
FAM213B	protein_coding
MMEL1	protein_coding
RP13-436F16.1	antisense
TTC34	protein_coding
RP11-740P5.2	lincRNA
RP11-740P5.3	lincRNA
ACTRT2	protein_coding
LINC00982	antisense
PRDM16	protein_coding
RP1-163G9.2	antisense
RP11-193J6.1	TEC
RP11-22L13.1	lincRNA
ARHGEF16	protein_coding
RP11-168F9.2	lincRNA
MEGF6	protein_coding
MIR551A	miRNA
RP11-46F15.2	antisense
TPRG1L	protein_coding
WRAP73	protein_coding
TP73	protein_coding
RP5-1092A11.5	antisense
RP5-1092A11.2	antisense
TP73-AS1	antisense
TP73-AS1	misc_RNA
CCDC27	protein_coding
SMIM1	protein_coding
LRRC47	protein_coding
RN7SL574P	misc_RNA
RP1-286D6.5	antisense
CEP104	protein_coding
DFFB	protein_coding
C1orf174	protein_coding
LINC01134	lincRNA
LINC01346	lincRNA
RP13-614K11.2	lincRNA
EEF1DP6	processed_pseudogene
RP5-1166F10.1	lincRNA
RP1-37J18.1	lincRNA
RP1-37J18.2	lincRNA
AJAP1	protein_coding
AL137795.1	miRNA
RP11-542C10.1	lincRNA
RP1-58B11.1	lincRNA
MIR4417	miRNA
RP11-154H17.1	lincRNA
AL356693.1	miRNA
MIR4689	miRNA
NPHP4	protein_coding
AL356261.1	miRNA
KCNAB2	protein_coding
CHD5	protein_coding
RPL22	protein_coding
RP1-120G22.11	antisense
RNF207	protein_coding
ICMT	protein_coding
LINC00337	lincRNA
HES3	protein_coding
GPR153	protein_coding
ACOT7	protein_coding
RP1-202O8.3	antisense
HES2	protein_coding
ESPN	protein_coding
MIR4252	miRNA
RP1-202O8.2	antisense
TNFRSF25	protein_coding
PLEKHG5	protein_coding
NOL9	protein_coding
RNU6-731P	snRNA
RP11-58A11.2	processed_pseudogene
TAS1R1	protein_coding
ZBTB48	protein_coding
KLHL21	protein_coding
PHF13	protein_coding
THAP3	protein_coding
DNAJC11	protein_coding
RP11-242F24.1	lincRNA
RP11-312B8.1	antisense
CAMTA1	protein_coding
RP11-312B8.2	processed_pseudogene
RP11-334N17.1	antisense
RNU1-8P	snRNA
Z98052.1	miRNA
CAMTA1-IT1	sense_intronic
RP3-453P22.2	antisense
RP4-549F15.1	antisense
RP11-338N10.1	lincRNA
RP11-338N10.2	lincRNA
RP11-338N10.3	lincRNA
VAMP3	protein_coding
RP3-467L1.6	sense_intronic
PER3	protein_coding
RP3-467L1.4	antisense
UTS2	protein_coding
TNFRSF9	protein_coding
RP5-892F13.2	processed_pseudogene
PARK7	protein_coding
Y_RNA	misc_RNA
ERRFI1	protein_coding
RP11-431K24.1	lincRNA
CTA-215D11.4	processed_pseudogene
RP11-431K24.2	processed_pseudogene
RP11-431K24.3	lincRNA
RNU1-7P	snRNA
RP11-431K24.4	lincRNA
RNU6-991P	snRNA
SLC45A1	protein_coding
Y_RNA	misc_RNA
RERE	protein_coding
RP5-1115A15.1	antisense
SNORA77	snoRNA
RP5-1115A15.2	processed_pseudogene
AL096855.1	miRNA
RPL7P11	processed_pseudogene
RPL7P7	processed_pseudogene
Y_RNA	misc_RNA
RP4-633I8.3	unprocessed_pseudogene
RP4-633I8.4	lincRNA
RPL23AP19	processed_pseudogene
ENO1	protein_coding
Metazoa_SRP	misc_RNA
MIR6728	miRNA
ENO1-IT1	sense_intronic
ENO1-AS1	antisense
RNU6-304P	snRNA
HMGN2P17	processed_pseudogene
RP3-477M7.5	processed_pseudogene
RP3-477M7.6	processed_pseudogene
CA6	protein_coding
RN7SL451P	misc_RNA
SLC2A7	protein_coding
SLC2A5	protein_coding
SCARNA16	scaRNA
AL158048.1	miRNA
GPR157	protein_coding
MIR34AHG	lincRNA
MIR34A	miRNA
RP3-510D11.2	lincRNA
RP3-510D11.4	lincRNA
H6PD	protein_coding
SPSB1	protein_coding
RNA5SP40	rRNA
RP13-392I16.1	lincRNA
SLC25A33	protein_coding
RP13-15M17.1	processed_pseudogene
TMEM201	protein_coding
PIK3CD	protein_coding
PIK3CD-AS1	antisense
RP11-558F24.2	processed_pseudogene
PIK3CD-AS2	antisense
CLSTN1	protein_coding
MZT1P1	processed_pseudogene
AL357140.1	protein_coding
CTNNBIP1	protein_coding
RP11-84A14.5	antisense
LZIC	protein_coding
RP11-84A14.4	sense_intronic
NMNAT1	protein_coding
RN7SKP269	misc_RNA
MIR5697	miRNA
RP11-807G9.2	sense_intronic
RBP7	protein_coding
UBE4B	protein_coding
RP11-496H15.2	processed_pseudogene
PGAM1P11	processed_pseudogene
RNU6-828P	snRNA
KIF1B	protein_coding
MIR1273D	miRNA
RNU6-37P	snRNA
RN7SL731P	misc_RNA
PGD	protein_coding
RP4-736L20.3	antisense
APITD1-CORT	protein_coding
APITD1	protein_coding
CORT	protein_coding
DFFA	protein_coding
RP5-1113E3.3	antisense
PEX14	protein_coding
RN7SL614P	misc_RNA
CASZ1	protein_coding
RP4-734G22.3	antisense
HSPE1P24	processed_pseudogene
C1orf127	protein_coding
CFL1P6	processed_pseudogene
AL713997.1	miRNA
Y_RNA	misc_RNA
TARDBP	protein_coding
RP4-635E18.9	protein_coding
MASP2	protein_coding
RP4-635E18.8	antisense
SRM	protein_coding
EXOSC10	protein_coding
RP4-635E18.7	antisense
Metazoa_SRP	misc_RNA
RP4-635E18.6	antisense
MTOR	protein_coding
MTOR-AS1	antisense
RNU6-537P	snRNA
ANGPTL7	protein_coding
RNU6-291P	snRNA
RPL39P6	processed_pseudogene
UBIAD1	protein_coding
UBE2V2P3	processed_pseudogene
RP11-149P14.1	processed_pseudogene
PTCHD2	protein_coding
RP1-69M21.2	lincRNA
FBXO2	protein_coding
FBXO44	protein_coding
FBXO6	protein_coding
MAD2L2	protein_coding
DRAXIN	protein_coding
AGTRAP	protein_coding
C1orf167	protein_coding
RP11-56N19.5	antisense
MTHFR	protein_coding
CLCN6	protein_coding
NPPA-AS1	antisense
NPPA-AS1_1	misc_RNA
NPPA-AS1_2	misc_RNA
NPPA	protein_coding
NPPA-AS1_3	misc_RNA
NPPB	protein_coding
RP5-934G17.6	processed_pseudogene
RNU5E-1	snRNA
RNU5E-4P	snRNA
KIAA2013	protein_coding
PLOD1	protein_coding
MFN2	protein_coding
RP5-1077B9.5	processed_pseudogene
MIIP	protein_coding
Y_RNA	misc_RNA
MIR6729	miRNA
RN7SL649P	misc_RNA
TNFRSF8	protein_coding
Metazoa_SRP	misc_RNA
RNU6-777P	snRNA
RPL23AP89	processed_pseudogene
MIR7846	miRNA
TNFRSF1B	protein_coding
MIR4632	miRNA
RP5-1118D24.2	processed_pseudogene
SNORA70	snoRNA
VPS13D	protein_coding
AC243836.1	miRNA
SNORA59A	snoRNA
RP5-888M10.2	lincRNA
DHRS3	protein_coding
RNU6ATAC18P	snRNA
MIR6730	miRNA
RP11-474O21.5	lincRNA
AADACL4	protein_coding
RP11-474O21.2	processed_pseudogene
AADACL3	protein_coding
C1orf158	protein_coding
PRAMEF12	protein_coding
PRAMEF1	protein_coding
RP5-845O24.8	lincRNA
PRAMEF11	protein_coding
PRAMEF30P	unprocessed_pseudogene
HNRNPCL1	protein_coding
PRAMEF2	protein_coding
PRAMEF4	protein_coding
PRAMEF10	protein_coding
PRAMEF7	protein_coding
RNU6-1072P	snRNA
PRAMEF29P	unprocessed_pseudogene
PRAMEF6	protein_coding
PRAMEF28	unprocessed_pseudogene
PRAMEF27	protein_coding
PRAMEF26	protein_coding
PRAMEF25	protein_coding
HNRNPCL3	protein_coding
PRAMEF34P	unprocessed_pseudogene
PRAMEF35P	unprocessed_pseudogene
HNRNPCL2	protein_coding
PRAMEF36P	transcribed_unprocessed_pseudogene
RP13-221M14.2	lincRNA
HNRNPCL4	protein_coding
PRAMEF9	protein_coding
PRAMEF13	unprocessed_pseudogene
PRAMEF18	protein_coding
PRAMEF31P	unprocessed_pseudogene
PRAMEF5	protein_coding
PRAMEF32P	unprocessed_pseudogene
RNU6-771P	snRNA
PRAMEF8	protein_coding
PRAMEF15	protein_coding
PRAMEF33P	unitary_pseudogene
RP11-219C24.10	lincRNA
PRAMEF14	protein_coding
PRAMEF19	protein_coding
PRAMEF17	protein_coding
PRAMEF20	protein_coding
LRRC38	protein_coding
RP4-597A16.2	antisense
BRWD1P1	processed_pseudogene
PDPN	protein_coding
RNA5SP41	rRNA
AL359771.1	miRNA
CTA-520D8.2	lincRNA
SCARNA11	scaRNA
PRDM2	protein_coding
RNU6-1265P	snRNA
RP11-344F13.1	lincRNA
RP4-704D23.1	lincRNA
KAZN	protein_coding
AL034395.1	miRNA
TBCAP2	processed_pseudogene
TMEM51-AS1	antisense
TMEM51	protein_coding
C1orf195	lincRNA
RP1-21O18.3	processed_pseudogene
RP5-903E17.2	processed_pseudogene
FHAD1	protein_coding
RP3-467K16.2	antisense
RP3-467K16.7	antisense
RP3-467K16.4	lincRNA
EFHD2	protein_coding
CTRC	protein_coding
CELA2A	protein_coding
CELA2B	protein_coding
CASP9	protein_coding
DNAJC16	protein_coding
SCARNA21	scaRNA
RP4-680D5.8	antisense
AGMAT	protein_coding
RP4-680D5.2	antisense
CHCHD2P6	processed_pseudogene
RNU7-179P	snRNA
RP4-680D5.4	processed_pseudogene
DDI2	protein_coding
RSC1A1	protein_coding
RP4-680D5.9	lincRNA
PLEKHM2	protein_coding
AL121992.1	miRNA
RP11-288I21.1	antisense
SLC25A34	protein_coding
RP11-169K16.4	antisense
TMEM82	protein_coding
FBLIM1	protein_coding
Metazoa_SRP	misc_RNA
RPL12P14	processed_pseudogene
UQCRHL	protein_coding
RP11-169K16.8	processed_pseudogene
FLJ37453	antisense
SPEN	protein_coding
RP1-134O19.3	unprocessed_pseudogene
ZBTB17	protein_coding
RP11-5P18.1	processed_pseudogene
RP11-5P18.3	unprocessed_pseudogene
RP11-5P18.11	processed_pseudogene
TBC1D3P6	unprocessed_pseudogene
C1orf64	protein_coding
RP11-5P18.5	antisense
HSPB7	protein_coding
CLCNKA	protein_coding
RP11-5P18.10	unprocessed_pseudogene
CLCNKB	protein_coding
FAM131C	protein_coding
EPHA2	protein_coding
RP11-276H7.2	antisense
RP11-276H7.3	antisense
ARHGEF19-AS1	antisense
ARHGEF19	protein_coding
ANO7P1	transcribed_unprocessed_pseudogene
RSG1	protein_coding
MT1XP1	processed_pseudogene
FBXO42	protein_coding
SZRD1	protein_coding
RP11-430L17.1	processed_pseudogene
SPATA21	protein_coding
AL358794.1	miRNA
NECAP2	protein_coding
RP4-798A10.2	lincRNA
CROCCP3	transcribed_unprocessed_pseudogene
RNU1-1	snRNA
RP4-798A10.7	lincRNA
RP4-798A10.4	lincRNA
RP5-875O13.1	lincRNA
RNU1-6P	snRNA
FAM231C	protein_coding
RP5-875O13.6	unprocessed_pseudogene
AL355149.1	miRNA
NBPF1	protein_coding
RP5-1182A14.5	lincRNA
CROCCP2	transcribed_unprocessed_pseudogene
MST1P2	unprocessed_pseudogene
RP1-163M9.8	lincRNA
RNU1-3	snRNA
FAM231A	protein_coding
RP5-875O13.7	unprocessed_pseudogene
AL021920.1	miRNA
EIF1AXP1	processed_pseudogene
ESPNP	transcribed_unprocessed_pseudogene
RP1-163M9.7	lincRNA
FAM231C	protein_coding
RP5-1182A14.7	lincRNA
CROCC	protein_coding
CROCCP4	transcribed_unprocessed_pseudogene
RNU1-4	snRNA
MST1L	transcribed_unprocessed_pseudogene
RP11-108M9.1	lincRNA
RP11-108M9.2	lincRNA
MIR3675	miRNA
RP11-108M9.3	lincRNA
RNU1-5P	snRNA
RP11-108M9.4	lincRNA
RP11-108M9.5	processed_pseudogene
RNU1-2	snRNA
RP11-108M9.6	lincRNA
MFAP2	protein_coding
RP1-37C10.3	antisense
ATP13A2	protein_coding
SDHB	protein_coding
PADI2	protein_coding
Y_RNA	misc_RNA
RP11-380J14.1	lincRNA
RP11-380J14.4	lincRNA
PADI1	protein_coding
PADI3	protein_coding
MIR3972	miRNA
PADI4	protein_coding
AC004824.2	protein_coding
PADI6	protein_coding
RP1-20B21.4	antisense
RCC2	protein_coding
AC004824.1	miRNA
ARHGEF10L	protein_coding
RP11-473A10.2	lincRNA
AL136529.1	miRNA
ACTL8	protein_coding
RP11-174G17.2	lincRNA
IGSF21	protein_coding
RP11-174G17.3	TEC
RP11-174G17	antisense
RP11-422P22.1	lincRNA
KLHDC7A	protein_coding
DYNLL1P3	processed_pseudogene
RP1-8B22.2	processed_pseudogene
PAX7	protein_coding
TAS1R2	protein_coding
RP13-279N23.2	protein_coding
ALDH4A1	protein_coding
MIR4695	miRNA
MIR1290	miRNA
IFFO2	protein_coding
RP5-1126H10.2	3prime_overlapping_ncrna
UBR4	protein_coding
RP1-43E13.2	antisense
EMC1	protein_coding
MRTO4	protein_coding
AKR7L	polymorphic_pseudogene
AKR7A3	protein_coding
RP4-657E11.10	processed_pseudogene
AKR7A2	protein_coding
RNU6-1099P	snRNA
PQLC2	protein_coding
CAPZB	protein_coding
RN7SL277P	misc_RNA
RNU4-28P	snRNA
RP5-1056L3.1	antisense
MINOS1	protein_coding
MINOS1-NBL1	protein_coding
RP5-1056L3.3	processed_pseudogene
NBL1	protein_coding
HTR6	protein_coding
TMCO4	protein_coding
RNF186	protein_coding
RP11-91K11.2	antisense
OTUD3	protein_coding
PLA2G2E	protein_coding
RN7SL304P	misc_RNA
PLA2G2A	protein_coding
PLA2G5	protein_coding
PLA2G2D	protein_coding
PLA2G2F	protein_coding
RP3-340N1.2	lincRNA
PLA2G2C	protein_coding
UBXN10-AS1	antisense
UBXN10	protein_coding
RP3-340N1.6	lincRNA
VWA5B1	protein_coding
RP4-745E8.2	antisense
LINC01141	lincRNA
RP4-749H3.2	lincRNA
CAMK2N1	protein_coding
MUL1	protein_coding
RPS4XP4	processed_pseudogene
FAM43B	protein_coding
CDA	protein_coding
PINK1	protein_coding
MIR6084	miRNA
PINK1-AS	antisense
DDOST	protein_coding
KIF17	protein_coding
RP5-930J4.5	unprocessed_pseudogene
SH2D5	protein_coding
RP5-930J4.2	antisense
HP1BP3	protein_coding
EIF4G3	protein_coding
RNU7-200P	snRNA
MIR1256	miRNA
RPS15AP6	processed_pseudogene
RP11-487E1.2	processed_pseudogene
HSPE1P27	processed_pseudogene
ECE1	protein_coding
RP3-329E20.2	antisense
RP5-1071N3.1	antisense
PPP1R11P1	processed_pseudogene
RP11-293F5.8	unprocessed_pseudogene
RP11-293F5.1	lincRNA
NBPF2P	unprocessed_pseudogene
HS6ST1P1	processed_pseudogene
CROCCP5	unprocessed_pseudogene
NBPF3	protein_coding
PFN1P10	processed_pseudogene
ALPL	protein_coding
RP11-63N8.3	antisense
AL359815.1	miRNA
RAP1GAP	protein_coding
USP48	protein_coding
U7	snRNA
RP11-132G19.3	processed_pseudogene
LDLRAD2	protein_coding
HSPG2	protein_coding
RP11-26H16.1	processed_pseudogene
CELA3B	protein_coding
RN7SL386P	misc_RNA
RNU6-1022P	snRNA
CELA3A	protein_coding
RN7SL186P	misc_RNA
RNU6-776P	snRNA
RP1-224A6.3	lincRNA
LINC00339	lincRNA
CDC42	protein_coding
CDC42-IT1	sense_intronic
RP1-224A6.8	processed_pseudogene
RP1-224A6.9	lincRNA
WNT4	protein_coding
MIR4418	miRNA
RP11-415K20.1	processed_pseudogene
RP11-415K20.2	TEC
ZBTB40	protein_coding
ZBTB40-IT1	sense_intronic
EPHA8	protein_coding
AL158086.1	miRNA
C1QA	protein_coding
C1QC	protein_coding
C1QB	protein_coding
EPHB2	protein_coding
MIR4684	miRNA
AL611946.1	miRNA
RP11-69E9.1	antisense
MIR4253	miRNA
LACTBL1	protein_coding
C1orf234	protein_coding
KDM1A	protein_coding
RP1-184J9.2	antisense
MIR3115	miRNA
MIR4419A	miRNA
LUZP1	protein_coding
RP5-979D14.1	processed_pseudogene
RNU6-514P	snRNA
RNU6-135P	snRNA
HTR1D	protein_coding
RP5-1057J7.1	processed_pseudogene
LINC01355	lincRNA
HNRNPR	protein_coding
ZNF436	protein_coding
ZNF436-AS1	antisense
Y_RNA	misc_RNA
RP5-1057J7.7	lincRNA
TCEA3	protein_coding
RP4-654C18.1	processed_pseudogene
ASAP3	protein_coding
E2F2	protein_coding
Metazoa_SRP	misc_RNA
RP1-150O5.3	lincRNA
ID3	protein_coding
MDS2	protein_coding
RP11-223J15.2	unprocessed_pseudogene
RPL11	protein_coding
TCEB3	protein_coding
TCEB3-AS1	antisense
PITHD1	protein_coding
LYPLA2	protein_coding
GALE	protein_coding
HMGCL	protein_coding
FUCA1	protein_coding
CNR2	protein_coding
BTBD6P1	processed_pseudogene
RP11-4M23.3	antisense
MIR378F	miRNA
RP11-4M23.4	processed_pseudogene
PNRC2	protein_coding
SRSF10	protein_coding
RP11-4M23.7	processed_pseudogene
RP11-293P20.2	antisense
MYOM3	protein_coding
RP11-293P20.4	antisense
IL22RA1	protein_coding
IFNLR1	protein_coding
RP11-10N16.2	lincRNA
AL590683.1	miRNA
AL590683.2	miRNA
RP11-10N16.3	antisense
GRHL3	protein_coding
STPG1	protein_coding
NIPAL3	protein_coding
RCAN3	protein_coding
RP4-594I10.3	lincRNA
NCMAP	protein_coding
RP11-496D1.2	processed_pseudogene
Y_RNA	misc_RNA
SRRM1	protein_coding
CLIC4	protein_coding
RNU6-1208P	snRNA
RUNX3	protein_coding
MIR6731	miRNA
RP11-84D1.1	antisense
RP11-84D1.2	lincRNA
MIR4425	miRNA
RP4-799D16.1	lincRNA
RP4-781L3.1	processed_pseudogene
RP4-706G24.1	antisense
SYF2	protein_coding
RSRP1	protein_coding
RP3-465N24.6	lincRNA
RP3-465N24.5	unprocessed_pseudogene
RHD	protein_coding
SDHDP6	processed_pseudogene
RP11-335G20.7	unprocessed_pseudogene
TMEM50A	protein_coding
RHCE	protein_coding
RP3-469D22.1	processed_pseudogene
TMEM57	protein_coding
LDLRAP1	protein_coding
RP11-70P17.1	lincRNA
MAN1C1	protein_coding
RP1-187B23.1	antisense
SEPN1	protein_coding
RP1-317E23.6	protein_coding
RP1-317E23.3	antisense
MTFR1L	protein_coding
RP1-317E23.7	antisense
AUNIP	protein_coding
RP1-125I3.2	antisense
PAQR7	protein_coding
Y_RNA	misc_RNA
STMN1	protein_coding
SNRPFP2	processed_pseudogene
RP1-125I3.4	processed_pseudogene
MIR3917	miRNA
AL033528.1	miRNA
PAFAH2	protein_coding
RNU6-110P	snRNA
SCARNA17	scaRNA
SCARNA18	scaRNA
EXTL1	protein_coding
SLC30A2	protein_coding
TRIM63	protein_coding
AL391650.1	miRNA
PDIK1L	protein_coding
FAM110D	protein_coding
RP11-96L14.8	protein_coding
RP11-96L14.7	protein_coding
ZNF593	protein_coding
CNKSR1	protein_coding
CATSPER4	protein_coding
RP11-231P20.2	transcribed_unprocessed_pseudogene
RP11-231P20.6	unprocessed_pseudogene
CEP85	protein_coding
RP11-231P20.5	processed_pseudogene
SH3BGRL3	protein_coding
UBXN11	protein_coding
CD52	protein_coding
AIM1L	protein_coding
RP11-569G9.7	processed_pseudogene
ZNF683	protein_coding
LIN28A	protein_coding
DHDDS	protein_coding
RP3-476K8.4	processed_pseudogene
RP3-476K8.3	antisense
HMGN2	protein_coding
DPPA2P2	processed_pseudogene
RPS6KA1	protein_coding
MIR1976	miRNA
RN7SL679P	misc_RNA
Y_RNA	misc_RNA
RNU7-29P	snRNA
RP11-492M19.3	processed_pseudogene
snoU13	snoRNA
RP4-785J1.1	processed_pseudogene
RP5-968P14.2	antisense
ARID1A	protein_coding
PIGV	protein_coding
RN7SL165P	misc_RNA
ZDHHC18	protein_coding
SFN	protein_coding
GPN2	protein_coding
RP1-50O24.6	antisense
GPATCH3	protein_coding
NUDC	protein_coding
NR0B2	protein_coding
KDF1	protein_coding
RPL12P13	unprocessed_pseudogene
RP11-344H11.5	processed_pseudogene
OSTCP2	processed_pseudogene
TRNP1	protein_coding
FAM46B	protein_coding
AL137860.1	protein_coding
SLC9A1	protein_coding
RP11-40H20.5	processed_pseudogene
CHCHD3P3	processed_pseudogene
NPM1P39	processed_pseudogene
SNRPEP7	processed_pseudogene
RP11-40H20.4	antisense
WDTC1	protein_coding
Y_RNA	misc_RNA
RP11-4K3__A.3	processed_pseudogene
TMEM222	protein_coding
RNU6-48P	snRNA
ACTG1P20	processed_pseudogene
FO393419.1	miRNA
SYTL1	protein_coding
MAP3K6	protein_coding
FCN3	protein_coding
CD164L2	protein_coding
RP1-144C9.2	processed_pseudogene
GPR3	protein_coding
WASF2	protein_coding
RP4-752I6.1	lincRNA
RP1-159A19.4	antisense
AHDC1	protein_coding
FGR	protein_coding
RP1-159A19.3	processed_pseudogene
RP11-288L9.1	lincRNA
IFI6	protein_coding
RP11-288L9.4	antisense
RNU6-949P	snRNA
CHMP1AP1	processed_pseudogene
RNU6-424P	snRNA
FAM76A	protein_coding
RP3-426I6.2	processed_pseudogene
RPEP3	processed_pseudogene
STX12	protein_coding
RP3-426I6.5	sense_intronic
AL020997.1	miRNA
RP3-426I6.6	sense_intronic
RNU6-1245P	snRNA
PPP1R8	protein_coding
SCARNA1	scaRNA
AL109927.1	protein_coding
THEMIS2	protein_coding
RPA2	protein_coding
SMPDL3B	protein_coding
RP11-460I13.2	antisense
XKR8	protein_coding
EYA3	protein_coding
RP11-460I13.6	processed_pseudogene
Metazoa_SRP	misc_RNA
RN7SL559P	misc_RNA
AL137792.1	miRNA
SPCS2P4	processed_pseudogene
RP5-1053E7.2	processed_pseudogene
RP5-1053E7.3	processed_pseudogene
RNU6-176P	snRNA
PTAFR	protein_coding
DNAJC8	protein_coding
ATPIF1	protein_coding
RP5-1092A3.4	antisense
RP5-1092A3.5	lincRNA
SESN2	protein_coding
MED18	protein_coding
PHACTR4	protein_coding
Y_RNA	misc_RNA
RP1-308E4.1	processed_pseudogene
RNU6ATAC27P	snRNA
RCC1	protein_coding
SNHG3	sense_intronic
SNORA73A	snoRNA
SNORA73B	snoRNA
PRDX3P2	processed_pseudogene
RP4-669K10.8	TEC
TRNAU1AP	protein_coding
SNHG12	antisense
SNORD99	snoRNA
SNORA61	snoRNA
SNORA44	snoRNA
SNORA16A	snoRNA
TAF12	protein_coding
RAB42	protein_coding
RP11-442N24__B.1	lincRNA
RNU11	lincRNA
RNU11	snRNA
GMEB1	protein_coding
SCARNA24	scaRNA
YTHDF2	protein_coding
OPRD1	protein_coding
RP1-212P9.3	antisense
Y_RNA	misc_RNA
EPB41	protein_coding
RP4-604A21.1	processed_pseudogene
Y_RNA	misc_RNA
Metazoa_SRP	misc_RNA
TMEM200B	protein_coding
RP11-242O24.3	lincRNA
SRSF4	protein_coding
uc_338	misc_RNA
MECR	protein_coding
RP11-467D18.2	antisense
PTPRU	protein_coding
AL645859.1	miRNA
RP3-437I16.1	lincRNA
